model,augmentation,n_folds_scorable,n_folds_total,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,macro_f1_n,stable_f1_mean,stable_f1_std,stable_f1_min,stable_f1_max,stable_f1_n,unstable_f1_mean,unstable_f1_std,unstable_f1_min,unstable_f1_max,unstable_f1_n,unstable_precision_mean,unstable_precision_std,unstable_precision_min,unstable_precision_max,unstable_precision_n,unstable_recall_mean,unstable_recall_std,unstable_recall_min,unstable_recall_max,unstable_recall_n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_n,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,roc_auc_n
LogisticRegression,fold_aware,6,8,0.808821,0.173139,0.473684,0.980392,6,0.890868,0.143187,0.575758,0.980392,6,0.726773,0.331054,0.000000,0.980392,6,0.743134,0.336914,0.000000,0.961538,6,0.717667,0.337222,0.000000,1.000000,6,0.903997,0.073907,0.756522,0.980392,6,0.822506,0.163078,0.500000,0.980769,6,0.905059,0.100309,0.733333,1.000000,6
LogisticRegression,none,6,8,0.798998,0.163130,0.473684,0.960769,6,0.884730,0.137313,0.583333,0.964286,6,0.713266,0.330205,0.000000,0.960000,6,0.718434,0.332760,0.000000,0.960000,6,0.714949,0.339414,0.000000,1.000000,6,0.905722,0.048337,0.826087,0.960784,6,0.804006,0.158864,0.500000,0.964286,6,0.892505,0.105367,0.733333,1.000000,6
LogisticRegression,pooled_global,6,8,0.859647,0.110669,0.645390,0.980392,6,0.923042,0.082056,0.754098,0.981818,6,0.796252,0.219138,0.333333,0.980392,6,0.934661,0.054652,0.826087,1.000000,6,0.753868,0.271281,0.200000,1.000000,6,0.927177,0.047277,0.862745,0.980392,6,0.856776,0.127450,0.600000,0.982143,6,0.954457,0.037311,0.904927,1.000000,6
MLP_NeuralNet,fold_aware,6,8,0.781241,0.164325,0.473684,0.941086,6,0.878192,0.120915,0.612245,0.962963,6,0.684290,0.341583,0.000000,0.943396,6,0.648666,0.344607,0.000000,0.900000,6,0.743177,0.345899,0.000000,1.000000,6,0.891838,0.043532,0.834783,0.948718,6,0.803113,0.155979,0.500000,0.964286,6,0.827617,0.180368,0.480000,1.000000,6
MLP_NeuralNet,none,6,8,0.777528,0.217132,0.473684,1.000000,6,0.875180,0.189561,0.458716,1.000000,6,0.679877,0.344059,0.000000,1.000000,6,0.788101,0.355180,0.000000,1.000000,6,0.627983,0.356690,0.000000,1.000000,6,0.864349,0.175103,0.486957,1.000000,6,0.803591,0.176709,0.500000,1.000000,6,0.848660,0.239324,0.320000,1.000000,6
MLP_NeuralNet,pooled_global,6,8,0.861724,0.117831,0.645390,1.000000,6,0.921063,0.098236,0.711864,1.000000,6,0.802385,0.225611,0.333333,1.000000,6,0.943865,0.061148,0.818182,1.000000,6,0.755034,0.272169,0.200000,1.000000,6,0.931153,0.052190,0.852174,1.000000,6,0.853925,0.130844,0.600000,1.000000,6,0.946666,0.040974,0.890233,1.000000,6
RandomForest,fold_aware,6,8,0.808505,0.125672,0.542690,0.921296,6,0.848289,0.176513,0.463158,0.973451,6,0.768721,0.109151,0.622222,0.925926,6,0.803995,0.099904,0.611111,0.913043,6,0.778885,0.203497,0.471910,1.000000,6,0.848761,0.137426,0.556522,0.952000,6,0.831007,0.088466,0.659032,0.923077,6,0.912535,0.076732,0.780467,1.000000,6
RandomForest,none,6,8,0.809257,0.176327,0.473684,0.969170,6,0.894110,0.137922,0.589744,0.981818,6,0.724404,0.333371,0.000000,0.961538,6,0.747120,0.336918,0.000000,0.952381,6,0.712593,0.344842,0.000000,1.000000,6,0.901807,0.085332,0.721739,0.974359,6,0.827186,0.161874,0.500000,0.982143,6,0.924802,0.056084,0.865169,1.000000,6
RandomForest,pooled_global,6,8,0.918119,0.054417,0.864130,1.000000,6,0.944216,0.067746,0.800000,1.000000,6,0.892023,0.096212,0.750000,1.000000,6,0.941701,0.060222,0.826087,1.000000,6,0.860201,0.147011,0.600000,1.000000,6,0.953718,0.032581,0.904348,1.000000,6,0.906840,0.069289,0.800000,1.000000,6,0.944674,0.052138,0.848889,1.000000,6
SVM_RBF,fold_aware,6,8,0.823613,0.138680,0.576510,0.980392,6,0.877487,0.119420,0.649351,0.981818,6,0.769740,0.211801,0.347826,0.980392,6,0.775163,0.275191,0.222222,0.984375,6,0.834061,0.120943,0.707865,1.000000,6,0.868452,0.105166,0.700000,0.980392,6,0.874381,0.084109,0.744444,0.982143,6,0.907673,0.107048,0.688889,1.000000,6
SVM_RBF,none,6,8,0.805223,0.170949,0.465241,1.000000,6,0.853360,0.134314,0.636364,1.000000,6,0.757087,0.240525,0.294118,1.000000,6,0.759121,0.303727,0.172414,1.000000,6,0.862889,0.128298,0.692308,1.000000,6,0.843001,0.154660,0.520000,1.000000,6,0.865726,0.086141,0.733333,1.000000,6,0.904102,0.107901,0.688889,1.000000,6
SVM_RBF,pooled_global,6,8,0.868116,0.089498,0.745960,0.980392,6,0.898727,0.139332,0.595745,0.981818,6,0.837505,0.135718,0.571429,0.980392,6,0.920843,0.055322,0.833333,1.000000,6,0.802975,0.208530,0.400000,1.000000,6,0.925380,0.056227,0.834783,0.980392,6,0.852483,0.109636,0.700000,0.982143,6,0.945209,0.045889,0.888889,1.000000,6
XGBoost,fold_aware,6,8,0.801157,0.158818,0.465524,0.960769,6,0.853433,0.195754,0.419048,0.967033,6,0.748881,0.152492,0.512000,0.961538,6,0.796294,0.116876,0.620690,0.925926,6,0.752582,0.229548,0.359551,1.000000,6,0.844684,0.170091,0.469565,0.960784,6,0.830488,0.116695,0.602852,0.961538,6,0.922285,0.069550,0.799481,1.000000,6
XGBoost,none,6,8,0.757334,0.212956,0.442424,0.939815,6,0.854416,0.196753,0.418182,0.973333,6,0.660253,0.334900,0.000000,0.916667,6,0.713912,0.321818,0.000000,0.909091,6,0.659078,0.377082,0.000000,1.000000,6,0.844621,0.180535,0.443478,0.952000,6,0.790338,0.175464,0.500000,0.964286,6,0.897053,0.111942,0.666811,1.000000,6
XGBoost,pooled_global,6,8,0.899576,0.073462,0.782609,1.000000,6,0.924213,0.105510,0.695652,1.000000,6,0.874939,0.095178,0.750000,1.000000,6,0.949278,0.052110,0.857143,1.000000,6,0.823743,0.148575,0.600000,1.000000,6,0.935957,0.060923,0.817391,1.000000,6,0.895393,0.073158,0.800000,1.000000,6,0.949640,0.037628,0.900605,1.000000,6
