model,augmentation,fold_id,test_run_id,n_train_windows,n_train_real,n_train_synthetic,number_of_test_windows,test_pct_stable,test_single_class,macro_f1,stable_f1,unstable_f1,unstable_precision,unstable_recall,accuracy,balanced_accuracy,roc_auc,tp_unstable_detected,fn_unstable_missed,fp_false_alarm,tn_stable_ok
LogisticRegression,none,0,1,377,377,0,250,89.600000,False,0.828297,0.964286,0.692308,0.692308,0.692308,0.936000,0.828297,0.800481,18,8,8,216
SVM_RBF,none,0,1,377,377,0,250,89.600000,False,0.779008,0.947846,0.610169,0.545455,0.692308,0.908000,0.812672,0.862466,18,8,15,209
RandomForest,none,0,1,377,377,0,250,89.600000,False,0.861726,0.973451,0.750000,0.818182,0.692308,0.952000,0.837225,0.901614,18,8,4,220
XGBoost,none,0,1,377,377,0,250,89.600000,False,0.866667,0.973333,0.760000,0.791667,0.730769,0.952000,0.854224,0.896806,19,7,5,219
MLP_NeuralNet,none,0,1,377,377,0,250,89.600000,False,0.870837,0.975717,0.765957,0.857143,0.692308,0.956000,0.839457,0.924107,18,8,3,221
LogisticRegression,pooled_global,0,1,1177,377,800,250,89.600000,False,0.875560,0.975610,0.775510,0.826087,0.730769,0.956000,0.856456,0.942308,19,7,4,220
SVM_RBF,pooled_global,0,1,1177,377,800,250,89.600000,False,0.888889,0.977778,0.800000,0.833333,0.769231,0.960000,0.875687,0.931319,20,6,4,220
RandomForest,pooled_global,0,1,1177,377,800,250,89.600000,False,0.875560,0.975610,0.775510,0.826087,0.730769,0.956000,0.856456,0.937586,19,7,4,220
XGBoost,pooled_global,0,1,1177,377,800,250,89.600000,False,0.870837,0.975717,0.765957,0.857143,0.692308,0.956000,0.839457,0.932349,18,8,3,221
MLP_NeuralNet,pooled_global,0,1,1177,377,800,250,89.600000,False,0.861726,0.973451,0.750000,0.818182,0.692308,0.952000,0.837225,0.924622,18,8,4,220
LogisticRegression,fold_aware,0,1,1177,377,800,250,89.600000,False,0.879907,0.975501,0.784314,0.800000,0.769231,0.956000,0.873455,0.918784,20,6,5,219
SVM_RBF,fold_aware,0,1,1177,377,800,250,89.600000,False,0.824466,0.959276,0.689655,0.625000,0.769231,0.928000,0.857830,0.888565,20,6,12,212
RandomForest,fold_aware,0,1,1177,377,800,250,89.600000,False,0.861726,0.973451,0.750000,0.818182,0.692308,0.952000,0.837225,0.898609,18,8,4,220
XGBoost,fold_aware,0,1,1177,377,800,250,89.600000,False,0.805924,0.957303,0.654545,0.620690,0.692308,0.924000,0.821600,0.903331,18,8,11,213
MLP_NeuralNet,fold_aware,0,1,1177,377,800,250,89.600000,False,0.700654,0.907801,0.493506,0.372549,0.730769,0.844000,0.793956,0.818853,19,7,32,192
LogisticRegression,none,1,31,588,588,0,39,71.790000,False,0.939815,0.962963,0.916667,0.846154,1.000000,0.948718,0.964286,1.000000,11,0,2,26
SVM_RBF,none,1,31,588,588,0,39,71.790000,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11,0,0,28
RandomForest,none,1,31,588,588,0,39,71.790000,False,0.969170,0.981818,0.956522,0.916667,1.000000,0.974359,0.982143,1.000000,11,0,1,27
XGBoost,none,1,31,588,588,0,39,71.790000,False,0.939815,0.962963,0.916667,0.846154,1.000000,0.948718,0.964286,1.000000,11,0,2,26
MLP_NeuralNet,none,1,31,588,588,0,39,71.790000,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11,0,0,28
LogisticRegression,pooled_global,1,31,1388,588,800,39,71.790000,False,0.969170,0.981818,0.956522,0.916667,1.000000,0.974359,0.982143,1.000000,11,0,1,27
SVM_RBF,pooled_global,1,31,1388,588,800,39,71.790000,False,0.969170,0.981818,0.956522,0.916667,1.000000,0.974359,0.982143,1.000000,11,0,1,27
RandomForest,pooled_global,1,31,1388,588,800,39,71.790000,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11,0,0,28
XGBoost,pooled_global,1,31,1388,588,800,39,71.790000,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11,0,0,28
MLP_NeuralNet,pooled_global,1,31,1388,588,800,39,71.790000,False,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11,0,0,28
LogisticRegression,fold_aware,1,31,1388,588,800,39,71.790000,False,0.939815,0.962963,0.916667,0.846154,1.000000,0.948718,0.964286,1.000000,11,0,2,26
SVM_RBF,fold_aware,1,31,1388,588,800,39,71.790000,False,0.969170,0.981818,0.956522,0.916667,1.000000,0.974359,0.982143,1.000000,11,0,1,27
RandomForest,fold_aware,1,31,1388,588,800,39,71.790000,False,0.807882,0.857143,0.758621,0.611111,1.000000,0.820513,0.875000,1.000000,11,0,7,21
XGBoost,fold_aware,1,31,1388,588,800,39,71.790000,False,0.858388,0.901961,0.814815,0.687500,1.000000,0.871795,0.910714,1.000000,11,0,5,23
MLP_NeuralNet,fold_aware,1,31,1388,588,800,39,71.790000,False,0.939815,0.962963,0.916667,0.846154,1.000000,0.948718,0.964286,1.000000,11,0,2,26
LogisticRegression,none,2,32,585,585,0,42,100.000000,True,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,,0,0,0,42
