,importance
CastFilmP2_std,0.011142866974023535
CastFilmP2_range,0.011142866974023535
CastFilmP2_iqr,0.011142866974023535
CastFilmBody_range,0.011142866974023535
CastFilmBody_iqr,0.011142866974023535
CastFilmP1_range,0.011142866974023535
CastFilmP1_std,0.011142866974023535
CastFilmP1_iqr,0.011142866974023535
DIE_range,0.011142866974023535
DIE_iqr,0.011142866974023535
CastFilmBody_std,0.011142866974023535
DIE_std,0.011142866974023535
CastFilmP1_slope,0.010415485741027141
CastFilmBody_slope,0.010415485741027141
DIE_slope,0.010415485741027141
CastFilmP2_slope,0.010415485741027141
Z1_range,0.010114288567278773
Z1_std,0.010039825962782734
Z1_slope,0.007955954815139499
Z3_slope,0.006480998563609519
Z4_std,0.006121288196588926
Z4_iqr,0.006121288196588926
Z4_range,0.006121288196588926
Z4_slope,0.006120288209324453
Z8_range,0.005266942271903707
Z8_slope,0.005180140638403052
Z3_std,0.005128969277507345
Z3_range,0.005128969277507345
Z3_iqr,0.005128969277507345
Z8_std,0.0049072319048831135
Z5_slope,0.004411606908433563
Z8_iqr,0.004411596359954017
Z2_max,0.003017560221172222
Z7_slope,0.00301656023390775
Z5_min,0.002885682834280523
Z5_mean,0.0028826350305281912
grad_DIE_minus_Z8,0.0025249724799954578
Z2_mean,0.0025219246762431258
Z2_min,0.0025219246762431258
Z7_iqr,0.0025219246762431258
Z7_range,0.0023930089048248672
Z3_min,0.0021612143219580603
Z3_mean,0.0021612143219580603
Z6_slope,0.0021612143219580603
Z3_max,0.0021612143219580603
Z7_std,0.0020322985505398018
Z2_std,0.0014428414171402614
Z2_range,0.0014428414171402614
Z6_max,0.001433555698346667
Z6_iqr,0.0013099267495047307
Z6_std,0.0013099267495047307
Z6_range,0.0013099267495047307
Z1_min,0.0009912710898581922
Z5_iqr,0.0008193495313364663
Z5_range,0.0008193495313364663
Z5_std,0.0008193495313364663
Z2_slope,0.0007571178371401866
Z6_min,0.0007151827935288679
Z6_mean,0.0007151827935288679
Z1_iqr,0.00036071035428506535
grad_CastFilm_minus_DIE,0.0
Z1_mean,0.0
Z1_max,0.0
CastFilmP2_min,-0.00033235436975512787
DIE_min,-0.00033235436975512787
CastFilmBody_min,-0.00033235436975512787
CastFilmP1_min,-0.00033235436975512787
CastFilmBody_mean,-0.0013643750319114688
CastFilmP1_mean,-0.0013643750319114688
CastFilmP2_mean,-0.0013643750319114688
DIE_mean,-0.0013643750319114688
Z5_max,-0.0014553172472227872
CastFilmP1_max,-0.0015063664255052234
CastFilmBody_max,-0.0015063664255052234
DIE_max,-0.0015063664255052234
CastFilmP2_max,-0.0015063664255052234
Z8_max,-0.0032871586445758715
Z8_mean,-0.0032871586445758715
Z8_min,-0.0032871586445758715
grad_Z8_minus_Z1,-0.0032871586445758715
Z4_mean,-0.0036446770385929472
Z4_min,-0.0036446770385929472
Z2_iqr,-0.003650987956381568
Z4_max,-0.0058468795863517945
Z7_min,-0.008065418490799203
Z7_mean,-0.00880933855578243
Z7_max,-0.00880933855578243
